,SITE,TRANSECT,REPLICATE,SIZE_MM,NUM_AO,AREA,YEAR,MONTH,DATE,RECORD_ID
6,IVEE,2,C,,0,300,2012,8,2012-08-20,32
7,IVEE,2,D,,0,300,2012,8,2012-08-20,33
8,IVEE,3,A,70.0,0,300,2012,8,2012-08-20,34
9,IVEE,3,B,60.0,0,300,2012,8,2012-08-20,35
10,IVEE,3,B,65.0,0,300,2012,8,2012-08-20,36
3,IVEE,1,D,,0,300,2012,8,2012-08-20,37
12,IVEE,3,B,85.0,0,300,2012,8,2012-08-20,38
11,IVEE,3,B,70.0,0,300,2012,8,2012-08-20,39
21,IVEE,5,A,52.0,0,300,2012,8,2012-08-20,40
20,IVEE,4,D,,0,300,2012,8,2012-08-20,41
18,IVEE,4,B,85.0,0,300,2012,8,2012-08-20,42
19,IVEE,4,C,,0,300,2012,8,2012-08-20,43
16,IVEE,3,D,70.0,0,300,2012,8,2012-08-20,44
15,IVEE,3,C,67.0,0,300,2012,8,2012-08-20,45
14,IVEE,3,C,65.0,0,300,2012,8,2012-08-20,46
13,IVEE,3,C,60.0,0,300,2012,8,2012-08-20,47
17,IVEE,4,A,,0,300,2012,8,2012-08-20,48
69,NAPL,6,D,,0,300,2012,8,2012-08-22,49
74,NAPL,8,A,,0,300,2012,8,2012-08-22,50
70,NAPL,7,A,,0,300,2012,8,2012-08-22,51
71,NAPL,7,B,,0,300,2012,8,2012-08-22,52
72,NAPL,7,C,,0,300,2012,8,2012-08-22,53
73,NAPL,7,D,,0,300,2012,8,2012-08-22,54
75,NAPL,8,B,,0,300,2012,8,2012-08-22,55
81,NAPL,9,D,,0,300,2012,8,2012-08-22,56
77,NAPL,8,D,,0,300,2012,8,2012-08-22,57
78,NAPL,9,A,,0,300,2012,8,2012-08-22,58
79,NAPL,9,B,,0,300,2012,8,2012-08-22,59
80,NAPL,9,C,,0,300,2012,8,2012-08-22,60
6243,NAPL,3,B,65.0,0,300,2012,8,2012-08-22,61
5224,NAPL,3,B,65.0,0,300,2012,8,2012-08-22,62
68,NAPL,6,C,,0,300,2012,8,2012-08-22,63
76,NAPL,8,C,,0,300,2012,8,2012-08-22,64
66,NAPL,6,A,,0,300,2012,8,2012-08-22,65
67,NAPL,6,B,,0,300,2012,8,2012-08-22,66
64,NAPL,5,C,,0,300,2012,8,2012-08-22,67
46,NAPL,1,A,,0,300,2012,8,2012-08-22,68
65,NAPL,5,D,90.0,0,300,2012,8,2012-08-22,69
47,NAPL,1,B,,0,300,2012,8,2012-08-22,70
48,NAPL,1,C,,0,300,2012,8,2012-08-22,71
49,NAPL,1,D,83.0,0,300,2012,8,2012-08-22,72
51,NAPL,2,B,75.0,0,300,2012,8,2012-08-22,73
52,NAPL,2,C,,0,300,2012,8,2012-08-22,74
53,NAPL,2,D,,0,300,2012,8,2012-08-22,75
54,NAPL,3,A,,0,300,2012,8,2012-08-22,76
50,NAPL,2,A,,0,300,2012,8,2012-08-22,77
56,NAPL,3,C,,0,300,2012,8,2012-08-22,78
63,NAPL,5,B,,0,300,2012,8,2012-08-22,79
55,NAPL,3,B,60.0,0,300,2012,8,2012-08-22,80
61,NAPL,4,D,,0,300,2012,8,2012-08-22,81
60,NAPL,4,C,,0,300,2012,8,2012-08-22,82
62,NAPL,5,A,,0,300,2012,8,2012-08-22,83
59,NAPL,4,B,,0,300,2012,8,2012-08-22,84
58,NAPL,4,A,,0,300,2012,8,2012-08-22,85
57,NAPL,3,D,,0,300,2012,8,2012-08-22,86
116,AQUE,5,C,85.0,0,300,2012,8,2012-08-24,87
123,AQUE,6,C,,0,300,2012,8,2012-08-24,88
117,AQUE,5,C,88.0,0,300,2012,8,2012-08-24,89
118,AQUE,5,C,89.0,0,300,2012,8,2012-08-24,90
114,AQUE,5,C,78.0,0,300,2012,8,2012-08-24,91
119,AQUE,5,C,90.0,0,300,2012,8,2012-08-24,92
120,AQUE,5,D,60.0,0,300,2012,8,2012-08-24,93
121,AQUE,6,A,,0,300,2012,8,2012-08-24,94
122,AQUE,6,B,,0,300,2012,8,2012-08-24,95
115,AQUE,5,C,80.0,0,300,2012,8,2012-08-24,96
124,AQUE,6,D,,0,300,2012,8,2012-08-24,97
6245,AQUE,4,B,85.0,0,300,2012,8,2012-08-24,98
126,AQUE,7,A,70.0,0,300,2012,8,2012-08-24,99
127,AQUE,7,A,72.0,0,300,2012,8,2012-08-24,100
128,AQUE,7,A,75.0,0,300,2012,8,2012-08-24,101
129,AQUE,7,B,,0,300,2012,8,2012-08-24,102
130,AQUE,7,C,,0,300,2012,8,2012-08-24,103
131,AQUE,7,D,,0,300,2012,8,2012-08-24,104
6246,AQUE,5,C,65.0,0,300,2012,8,2012-08-24,105
6244,AQUE,4,B,63.0,0,300,2012,8,2012-08-24,106
5227,AQUE,5,C,65.0,0,300,2012,8,2012-08-24,107
5226,AQUE,4,B,85.0,0,300,2012,8,2012-08-24,108
113,AQUE,5,C,70.0,0,300,2012,8,2012-08-24,109
125,AQUE,7,A,65.0,0,300,2012,8,2012-08-24,110
112,AQUE,5,C,64.0,0,300,2012,8,2012-08-24,111
5225,AQUE,4,B,63.0,0,300,2012,8,2012-08-24,112
110,AQUE,5,A,,0,300,2012,8,2012-08-24,113
84,AQUE,1,C,55.0,0,300,2012,8,2012-08-24,114
85,AQUE,1,D,58.0,0,300,2012,8,2012-08-24,115
86,AQUE,1,D,63.0,0,300,2012,8,2012-08-24,116
87,AQUE,1,D,70.0,0,300,2012,8,2012-08-24,117
88,AQUE,1,D,75.0,0,300,2012,8,2012-08-24,118
89,AQUE,2,A,72.0,0,300,2012,8,2012-08-24,119
90,AQUE,2,B,57.0,0,300,2012,8,2012-08-24,120
111,AQUE,5,B,,0,300,2012,8,2012-08-24,121
83,AQUE,1,B,,0,300,2012,8,2012-08-24,122
91,AQUE,2,B,60.0,0,300,2012,8,2012-08-24,123
92,AQUE,2,B,62.0,0,300,2012,8,2012-08-24,124
93,AQUE,2,B,64.0,0,300,2012,8,2012-08-24,125
94,AQUE,2,B,66.0,0,300,2012,8,2012-08-24,126
95,AQUE,2,B,85.0,0,300,2012,8,2012-08-24,127
82,AQUE,1,A,,0,300,2012,8,2012-08-24,128
97,AQUE,2,C,68.0,0,300,2012,8,2012-08-24,129
109,AQUE,4,D,,0,300,2012,8,2012-08-24,130
108,AQUE,4,C,,0,300,2012,8,2012-08-24,131
101,AQUE,3,C,,0,300,2012,8,2012-08-24,132
107,AQUE,4,B,77.0,0,300,2012,8,2012-08-24,133
105,AQUE,4,A,75.0,0,300,2012,8,2012-08-24,134
104,AQUE,4,A,70.0,0,300,2012,8,2012-08-24,135
96,AQUE,2,C,60.0,0,300,2012,8,2012-08-24,136
102,AQUE,3,D,,0,300,2012,8,2012-08-24,137
103,AQUE,4,A,62.0,0,300,2012,8,2012-08-24,138
106,AQUE,4,A,87.0,0,300,2012,8,2012-08-24,139
98,AQUE,2,D,,0,300,2012,8,2012-08-24,140
99,AQUE,3,A,,0,300,2012,8,2012-08-24,141
100,AQUE,3,B,,0,300,2012,8,2012-08-24,142
7262,CARP,2,C,60.0,0,300,2012,8,2012-08-27,143
5228,CARP,1,C,85.0,0,300,2012,8,2012-08-27,144
186,CARP,6,D,,0,300,2012,8,2012-08-27,145
185,CARP,6,C,,0,300,2012,8,2012-08-27,146
184,CARP,6,B,98.0,0,300,2012,8,2012-08-27,147
183,CARP,6,A,,0,300,2012,8,2012-08-27,148
182,CARP,5,D,62.0,0,300,2012,8,2012-08-27,149
181,CARP,5,C,60.0,1,300,2012,8,2012-08-27,150
180,CARP,5,B,,0,300,2012,8,2012-08-27,151
179,CARP,5,A,71.0,0,300,2012,8,2012-08-27,152
178,CARP,5,A,68.0,0,300,2012,8,2012-08-27,153
177,CARP,4,D,,0,300,2012,8,2012-08-27,154
176,CARP,4,C,72.0,0,300,2012,8,2012-08-27,155
5229,CARP,1,C,90.0,0,300,2012,8,2012-08-27,156
5230,CARP,2,A,75.0,0,300,2012,8,2012-08-27,157
5232,CARP,3,C,85.0,0,300,2012,8,2012-08-27,158
7261,CARP,2,A,65.0,0,300,2012,8,2012-08-27,159
5233,CARP,5,D,65.0,0,300,2012,8,2012-08-27,160
7979,CARP,2,A,65.0,0,300,2012,8,2012-08-27,161
175,CARP,4,B,156.0,0,300,2012,8,2012-08-27,162
7622,CARP,3,C,80.0,0,300,2012,8,2012-08-27,163
7621,CARP,2,C,60.0,0,300,2012,8,2012-08-27,164
6247,CARP,1,C,85.0,0,300,2012,8,2012-08-27,165
6248,CARP,1,C,90.0,0,300,2012,8,2012-08-27,166
6249,CARP,2,A,75.0,0,300,2012,8,2012-08-27,167
7620,CARP,2,A,65.0,0,300,2012,8,2012-08-27,168
6250,CARP,2,A,78.0,0,300,2012,8,2012-08-27,169
7263,CARP,3,C,80.0,0,300,2012,8,2012-08-27,170
6251,CARP,3,C,85.0,0,300,2012,8,2012-08-27,171
6252,CARP,5,D,65.0,0,300,2012,8,2012-08-27,172
5231,CARP,2,A,78.0,0,300,2012,8,2012-08-27,173
174,CARP,4,B,74.0,0,300,2012,8,2012-08-27,174
172,CARP,4,A,55.0,0,300,2012,8,2012-08-27,175
7980,CARP,2,C,60.0,0,300,2012,8,2012-08-27,176
149,CARP,2,D,57.0,0,300,2012,8,2012-08-27,177
148,CARP,2,D,52.0,0,300,2012,8,2012-08-27,178
147,CARP,2,C,85.0,0,300,2012,8,2012-08-27,179
146,CARP,2,C,82.0,0,300,2012,8,2012-08-27,180
145,CARP,2,C,78.0,0,300,2012,8,2012-08-27,181
144,CARP,2,C,76.0,0,300,2012,8,2012-08-27,182
143,CARP,2,C,75.0,0,300,2012,8,2012-08-27,183
142,CARP,2,C,65.0,0,300,2012,8,2012-08-27,184
150,CARP,2,D,58.0,0,300,2012,8,2012-08-27,185
141,CARP,2,C,64.0,0,300,2012,8,2012-08-27,186
139,CARP,2,A,80.0,0,300,2012,8,2012-08-27,187
138,CARP,2,A,70.0,0,300,2012,8,2012-08-27,188
137,CARP,2,A,68.0,0,300,2012,8,2012-08-27,189
136,CARP,2,A,60.0,0,300,2012,8,2012-08-27,190
135,CARP,1,D,,0,300,2012,8,2012-08-27,191
134,CARP,1,C,95.0,0,300,2012,8,2012-08-27,192
133,CARP,1,B,95.0,0,300,2012,8,2012-08-27,193
132,CARP,1,A,,0,300,2012,8,2012-08-27,194
140,CARP,2,B,,0,300,2012,8,2012-08-27,195
173,CARP,4,A,71.0,0,300,2012,8,2012-08-27,196
151,CARP,2,D,61.0,0,300,2012,8,2012-08-27,197
153,CARP,2,D,64.0,0,300,2012,8,2012-08-27,198
171,CARP,3,D,95.0,0,300,2012,8,2012-08-27,199
170,CARP,3,D,80.0,0,300,2012,8,2012-08-27,200
169,CARP,3,D,78.0,0,300,2012,8,2012-08-27,201
168,CARP,3,D,75.0,0,300,2012,8,2012-08-27,202
167,CARP,3,C,90.0,0,300,2012,8,2012-08-27,203
166,CARP,3,C,75.0,0,300,2012,8,2012-08-27,204
165,CARP,3,C,74.0,0,300,2012,8,2012-08-27,205
164,CARP,3,B,58.0,0,300,2012,8,2012-08-27,206
152,CARP,2,D,62.0,0,300,2012,8,2012-08-27,207
163,CARP,3,A,,0,300,2012,8,2012-08-27,208
161,CARP,2,D,88.0,0,300,2012,8,2012-08-27,209
160,CARP,2,D,85.0,0,300,2012,8,2012-08-27,210
159,CARP,2,D,81.0,0,300,2012,8,2012-08-27,211
158,CARP,2,D,78.0,0,300,2012,8,2012-08-27,212
157,CARP,2,D,72.0,0,300,2012,8,2012-08-27,213
156,CARP,2,D,70.0,0,300,2012,8,2012-08-27,214
155,CARP,2,D,68.0,0,300,2012,8,2012-08-27,215
154,CARP,2,D,65.0,0,300,2012,8,2012-08-27,216
162,CARP,2,D,92.0,0,300,2012,8,2012-08-27,217
7981,CARP,3,C,80.0,0,300,2012,8,2012-08-27,218
203,CARP,9,D,,0,300,2012,8,2012-08-28,219
195,CARP,8,D,,0,300,2012,8,2012-08-28,220
197,CARP,9,B,58.0,0,300,2012,8,2012-08-28,221
198,CARP,9,B,81.0,0,300,2012,8,2012-08-28,222
199,CARP,9,B,82.0,0,300,2012,8,2012-08-28,223
200,CARP,9,B,84.0,0,300,2012,8,2012-08-28,224
193,CARP,8,B,65.0,0,300,2012,8,2012-08-28,225
201,CARP,9,C,75.0,0,300,2012,8,2012-08-28,226
202,CARP,9,C,77.0,0,300,2012,8,2012-08-28,227
194,CARP,8,C,,0,300,2012,8,2012-08-28,228
192,CARP,8,A,68.0,0,300,2012,8,2012-08-28,229
191,CARP,7,D,47.0,0,300,2012,8,2012-08-28,230
190,CARP,7,C,,0,300,2012,8,2012-08-28,231
189,CARP,7,B,68.0,0,300,2012,8,2012-08-28,232
188,CARP,7,B,66.0,0,300,2012,8,2012-08-28,233
187,CARP,7,A,,0,300,2012,8,2012-08-28,234
196,CARP,9,A,,0,300,2012,8,2012-08-28,235
8730,MOHK,2,D,90.0,0,300,2012,8,2012-08-29,236
8923,MOHK,1,D,68.0,0,300,2012,8,2012-08-29,237
5240,MOHK,2,D,75.0,0,300,2012,8,2012-08-29,238
5242,MOHK,2,D,95.0,0,300,2012,8,2012-08-29,239
5241,MOHK,2,D,80.0,0,300,2012,8,2012-08-29,240
8729,MOHK,1,D,72.0,0,300,2012,8,2012-08-29,241
5239,MOHK,1,D,88.0,0,300,2012,8,2012-08-29,242
5238,MOHK,1,D,70.0,0,300,2012,8,2012-08-29,243
5237,MOHK,1,D,65.0,0,300,2012,8,2012-08-29,244
5236,MOHK,1,A,85.0,0,300,2012,8,2012-08-29,245
5235,MOHK,1,A,82.0,0,300,2012,8,2012-08-29,246
5234,MOHK,1,A,80.0,0,300,2012,8,2012-08-29,247
5243,MOHK,2,D,110.0,0,300,2012,8,2012-08-29,248
7983,MOHK,1,B,75.0,0,300,2012,8,2012-08-29,249
7982,MOHK,1,A,75.0,0,300,2012,8,2012-08-29,250
6255,MOHK,1,A,85.0,0,300,2012,8,2012-08-29,251
7984,MOHK,1,D,75.0,0,300,2012,8,2012-08-29,252
7985,MOHK,1,D,85.0,0,300,2012,8,2012-08-29,253
7986,MOHK,2,D,82.0,0,300,2012,8,2012-08-29,254
7627,MOHK,2,D,82.0,0,300,2012,8,2012-08-29,255
7626,MOHK,1,D,85.0,0,300,2012,8,2012-08-29,256
7625,MOHK,1,D,75.0,0,300,2012,8,2012-08-29,257
7624,MOHK,1,B,75.0,0,300,2012,8,2012-08-29,258
7623,MOHK,1,A,75.0,0,300,2012,8,2012-08-29,259
8338,MOHK,1,D,68.0,0,300,2012,8,2012-08-29,260
8339,MOHK,1,D,72.0,0,300,2012,8,2012-08-29,261
8340,MOHK,2,D,90.0,0,300,2012,8,2012-08-29,262
7268,MOHK,2,D,82.0,0,300,2012,8,2012-08-29,263
7267,MOHK,1,D,85.0,0,300,2012,8,2012-08-29,264
7266,MOHK,1,D,75.0,0,300,2012,8,2012-08-29,265
7265,MOHK,1,B,75.0,0,300,2012,8,2012-08-29,266
7264,MOHK,1,A,75.0,0,300,2012,8,2012-08-29,267
8533,MOHK,1,D,68.0,0,300,2012,8,2012-08-29,268
8534,MOHK,1,D,72.0,0,300,2012,8,2012-08-29,269
8535,MOHK,2,D,90.0,0,300,2012,8,2012-08-29,270
6262,MOHK,2,D,110.0,0,300,2012,8,2012-08-29,271
6261,MOHK,2,D,95.0,0,300,2012,8,2012-08-29,272
6260,MOHK,2,D,80.0,0,300,2012,8,2012-08-29,273
6259,MOHK,2,D,75.0,0,300,2012,8,2012-08-29,274
6258,MOHK,1,D,88.0,0,300,2012,8,2012-08-29,275
6257,MOHK,1,D,70.0,0,300,2012,8,2012-08-29,276
6256,MOHK,1,D,65.0,0,300,2012,8,2012-08-29,277
8728,MOHK,1,D,68.0,0,300,2012,8,2012-08-29,278
6254,MOHK,1,A,82.0,0,300,2012,8,2012-08-29,279
6253,MOHK,1,A,80.0,0,300,2012,8,2012-08-29,280
8925,MOHK,2,D,90.0,0,300,2012,8,2012-08-29,281
227,MOHK,2,D,55.0,0,300,2012,8,2012-08-29,282
226,MOHK,2,C,,0,300,2012,8,2012-08-29,283
228,MOHK,2,D,65.0,0,300,2012,8,2012-08-29,284
229,MOHK,2,D,66.0,0,300,2012,8,2012-08-29,285
230,MOHK,2,D,77.0,0,300,2012,8,2012-08-29,286
231,MOHK,2,D,84.0,0,300,2012,8,2012-08-29,287
232,MOHK,2,D,85.0,0,300,2012,8,2012-08-29,288
233,MOHK,2,D,105.0,0,300,2012,8,2012-08-29,289
234,MOHK,3,A,65.0,0,300,2012,8,2012-08-29,290
235,MOHK,3,A,72.0,0,300,2012,8,2012-08-29,291
236,MOHK,3,B,,0,300,2012,8,2012-08-29,292
237,MOHK,3,C,60.0,0,300,2012,8,2012-08-29,293
238,MOHK,3,C,65.0,0,300,2012,8,2012-08-29,294
239,MOHK,3,C,68.0,0,300,2012,8,2012-08-29,295
240,MOHK,3,C,75.0,0,300,2012,8,2012-08-29,296
241,MOHK,3,C,80.0,0,300,2012,8,2012-08-29,297
242,MOHK,3,C,82.0,0,300,2012,8,2012-08-29,298
243,MOHK,3,D,,0,300,2012,8,2012-08-29,299
225,MOHK,2,B,85.0,0,300,2012,8,2012-08-29,300
8924,MOHK,1,D,72.0,0,300,2012,8,2012-08-29,301
224,MOHK,2,B,78.0,0,300,2012,8,2012-08-29,302
222,MOHK,2,B,68.0,0,300,2012,8,2012-08-29,303
204,MOHK,1,A,65.0,0,300,2012,8,2012-08-29,304
205,MOHK,1,A,70.0,0,300,2012,8,2012-08-29,305
206,MOHK,1,A,84.0,0,300,2012,8,2012-08-29,306
207,MOHK,1,B,68.0,0,300,2012,8,2012-08-29,307
208,MOHK,1,B,70.0,0,300,2012,8,2012-08-29,308
209,MOHK,1,B,72.0,0,300,2012,8,2012-08-29,309
210,MOHK,1,B,78.0,0,300,2012,8,2012-08-29,310
211,MOHK,1,B,85.0,0,300,2012,8,2012-08-29,311
223,MOHK,2,B,75.0,0,300,2012,8,2012-08-29,312
212,MOHK,1,B,88.0,0,300,2012,8,2012-08-29,313
214,MOHK,1,C,80.0,0,300,2012,8,2012-08-29,314
215,MOHK,1,C,84.0,0,300,2012,8,2012-08-29,315
216,MOHK,1,D,60.0,0,300,2012,8,2012-08-29,316
217,MOHK,1,D,62.0,0,300,2012,8,2012-08-29,317
218,MOHK,1,D,80.0,0,300,2012,8,2012-08-29,318
219,MOHK,2,A,,0,300,2012,8,2012-08-29,319
220,MOHK,2,B,60.0,0,300,2012,8,2012-08-29,320
221,MOHK,2,B,65.0,0,300,2012,8,2012-08-29,321
213,MOHK,1,C,75.0,0,300,2012,8,2012-08-29,322
248,IVEE,2,A,,0,300,2013,8,2013-08-21,323
249,IVEE,2,B,,0,300,2013,8,2013-08-21,324
246,IVEE,1,C,,0,300,2013,8,2013-08-21,325
281,IVEE,5,A,82.0,0,300,2013,8,2013-08-21,326
244,IVEE,1,A,,0,300,2013,8,2013-08-21,327
6263,IVEE,5,A,85.0,0,300,2013,8,2013-08-21,328
280,IVEE,5,A,78.0,0,300,2013,8,2013-08-21,329
245,IVEE,1,B,,0,300,2013,8,2013-08-21,330
251,IVEE,2,D,,0,300,2013,8,2013-08-21,331
250,IVEE,2,C,,0,300,2013,8,2013-08-21,332
253,IVEE,3,A,62.0,0,300,2013,8,2013-08-21,333
276,IVEE,4,C,70.0,0,300,2013,8,2013-08-21,334
277,IVEE,4,C,75.0,0,300,2013,8,2013-08-21,335
278,IVEE,4,D,,0,300,2013,8,2013-08-21,336
279,IVEE,5,A,75.0,0,300,2013,8,2013-08-21,337
299,IVEE,8,D,78.0,0,300,2013,8,2013-08-21,338
298,IVEE,8,C,,0,300,2013,8,2013-08-21,339
297,IVEE,8,B,,0,300,2013,8,2013-08-21,340
296,IVEE,8,A,,0,300,2013,8,2013-08-21,341
295,IVEE,7,D,78.0,0,300,2013,8,2013-08-21,342
294,IVEE,7,D,68.0,0,300,2013,8,2013-08-21,343
275,IVEE,4,B,85.0,0,300,2013,8,2013-08-21,344
293,IVEE,7,C,,0,300,2013,8,2013-08-21,345
291,IVEE,7,B,65.0,0,300,2013,8,2013-08-21,346
290,IVEE,7,A,,0,300,2013,8,2013-08-21,347
289,IVEE,6,D,85.0,0,300,2013,8,2013-08-21,348
288,IVEE,6,C,,0,300,2013,8,2013-08-21,349
287,IVEE,6,B,62.0,0,300,2013,8,2013-08-21,350
286,IVEE,6,A,,0,300,2013,8,2013-08-21,351
285,IVEE,5,D,80.0,0,300,2013,8,2013-08-21,352
284,IVEE,5,C,,0,300,2013,8,2013-08-21,353
283,IVEE,5,B,83.0,0,300,2013,8,2013-08-21,354
282,IVEE,5,B,77.0,0,300,2013,8,2013-08-21,355
292,IVEE,7,B,72.0,0,300,2013,8,2013-08-21,356
274,IVEE,4,B,83.0,0,300,2013,8,2013-08-21,357
273,IVEE,4,B,78.0,0,300,2013,8,2013-08-21,358
272,IVEE,4,B,70.0,0,300,2013,8,2013-08-21,359
254,IVEE,3,A,64.0,0,300,2013,8,2013-08-21,360
255,IVEE,3,A,65.0,1,300,2013,8,2013-08-21,361
256,IVEE,3,A,72.0,1,300,2013,8,2013-08-21,362
257,IVEE,3,A,74.0,1,300,2013,8,2013-08-21,363
258,IVEE,3,A,78.0,0,300,2013,8,2013-08-21,364
259,IVEE,3,A,79.0,0,300,2013,8,2013-08-21,365
260,IVEE,3,A,80.0,0,300,2013,8,2013-08-21,366
5244,IVEE,5,A,85.0,0,300,2013,8,2013-08-21,367
261,IVEE,3,A,82.0,0,300,2013,8,2013-08-21,368
252,IVEE,3,A,60.0,0,300,2013,8,2013-08-21,369
262,IVEE,3,B,58.0,0,300,2013,8,2013-08-21,370
263,IVEE,3,B,72.0,1,300,2013,8,2013-08-21,371
264,IVEE,3,B,75.0,0,300,2013,8,2013-08-21,372
265,IVEE,3,C,68.0,0,300,2013,8,2013-08-21,373
266,IVEE,3,C,75.0,0,300,2013,8,2013-08-21,374
267,IVEE,3,D,,0,300,2013,8,2013-08-21,375
268,IVEE,4,A,64.0,0,300,2013,8,2013-08-21,376
269,IVEE,4,A,70.0,0,300,2013,8,2013-08-21,377
270,IVEE,4,A,74.0,0,300,2013,8,2013-08-21,378
271,IVEE,4,B,65.0,0,300,2013,8,2013-08-21,379
247,IVEE,1,D,,0,300,2013,8,2013-08-21,380
6265,NAPL,6,C,64.0,0,300,2013,8,2013-08-22,381
5245,NAPL,2,C,70.0,0,300,2013,8,2013-08-22,382
5246,NAPL,6,C,64.0,0,300,2013,8,2013-08-22,383
6264,NAPL,2,C,70.0,0,300,2013,8,2013-08-22,384
336,NAPL,5,C,65.0,0,300,2013,8,2013-08-22,385
341,NAPL,5,D,76.0,0,300,2013,8,2013-08-22,386
352,NAPL,7,C,74.0,0,300,2013,8,2013-08-22,387
351,NAPL,7,B,,0,300,2013,8,2013-08-22,388
350,NAPL,7,A,,0,300,2013,8,2013-08-22,389
349,NAPL,6,D,74.0,0,300,2013,8,2013-08-22,390
348,NAPL,6,C,98.0,0,300,2013,8,2013-08-22,391
347,NAPL,6,C,90.0,0,300,2013,8,2013-08-22,392
353,NAPL,7,D,80.0,0,300,2013,8,2013-08-22,393
346,NAPL,6,C,65.0,0,300,2013,8,2013-08-22,394
344,NAPL,6,B,72.0,0,300,2013,8,2013-08-22,395
343,NAPL,6,A,80.0,0,300,2013,8,2013-08-22,396
342,NAPL,5,D,79.0,0,300,2013,8,2013-08-22,397
340,NAPL,5,D,65.0,0,300,2013,8,2013-08-22,398
339,NAPL,5,C,90.0,0,300,2013,8,2013-08-22,399
338,NAPL,5,C,68.0,0,300,2013,8,2013-08-22,400
345,NAPL,6,B,77.0,0,300,2013,8,2013-08-22,401
335,NAPL,5,C,64.0,0,300,2013,8,2013-08-22,402
354,NAPL,7,D,86.0,0,300,2013,8,2013-08-22,403
356,NAPL,8,A,93.0,0,300,2013,8,2013-08-22,404
370,NAPL,9,D,,0,300,2013,8,2013-08-22,405
369,NAPL,9,C,80.0,0,300,2013,8,2013-08-22,406
368,NAPL,9,B,,0,300,2013,8,2013-08-22,407
367,NAPL,9,A,100.0,0,300,2013,8,2013-08-22,408
366,NAPL,9,A,84.0,0,300,2013,8,2013-08-22,409
365,NAPL,9,A,82.0,0,300,2013,8,2013-08-22,410
355,NAPL,8,A,62.0,0,300,2013,8,2013-08-22,411
364,NAPL,9,A,79.0,0,300,2013,8,2013-08-22,412
362,NAPL,9,A,71.0,0,300,2013,8,2013-08-22,413
361,NAPL,9,A,64.0,0,300,2013,8,2013-08-22,414
360,NAPL,9,A,62.0,0,300,2013,8,2013-08-22,415
359,NAPL,8,D,65.0,0,300,2013,8,2013-08-22,416
358,NAPL,8,C,,0,300,2013,8,2013-08-22,417
357,NAPL,8,B,,0,300,2013,8,2013-08-22,418
363,NAPL,9,A,78.0,0,300,2013,8,2013-08-22,419
334,NAPL,5,C,62.0,0,300,2013,8,2013-08-22,420
337,NAPL,5,C,66.0,0,300,2013,8,2013-08-22,421
332,NAPL,5,B,55.0,0,300,2013,8,2013-08-22,422
314,NAPL,3,A,110.0,0,300,2013,8,2013-08-22,423
313,NAPL,3,A,95.0,0,300,2013,8,2013-08-22,424
312,NAPL,3,A,81.0,0,300,2013,8,2013-08-22,425
311,NAPL,2,D,108.0,0,300,2013,8,2013-08-22,426
310,NAPL,2,C,105.0,0,300,2013,8,2013-08-22,427
309,NAPL,2,C,72.0,0,300,2013,8,2013-08-22,428
308,NAPL,2,C,54.0,0,300,2013,8,2013-08-22,429
307,NAPL,2,B,80.0,0,300,2013,8,2013-08-22,430
306,NAPL,2,B,70.0,1,300,2013,8,2013-08-22,431
